CASE ID,Activity,current
20188005170,Request completed with account closure,8524775.0
20188005190,Request completed with account closure,3088319.0
20188005192,Request completed with account closure,3692821.0
20188005318,Request completed with account closure,2735276.0
20188005364,Request completed with account closure,9121213.0
20188005448,Request completed with account closure,3175224.0
20188005452,Request completed with account closure,489444.0
20188005462,Request completed with account closure,3433137.0
20188005502,Request completed with account closure,2565968.0
20188005512,Request completed with account closure,2412967.0
20188005516,Request completed with account closure,2392013.0
20188005530,Request completed with account closure,2223005.0
20188005542,Request completed with account closure,2907186.0
20188005549,Request completed with account closure,2755752.0
20188005557,Request completed with account closure,3964834.0
20188005575,Request deleted,43.0
20188005599,Request completed with account closure,3162830.0
20188005639,Request completed with account closure,2901247.0
20188005644,Request completed with account closure,2406516.0
20188005659,Request completed with account closure,2379510.0
20188005687,Request completed with account closure,2376852.0
20188005708,Request deleted,13194748.0
20188005715,Request deleted,13119962.0
20188005722,Request completed with account closure,2460045.0
20188005734,Request completed with account closure,2544189.0
20188005835,Request completed with account closure,2832006.0
20188005844,Request completed with account closure,2998448.0
20188005884,Request completed with account closure,2396114.0
20188005910,Request completed with account closure,2308661.0
20188005928,Request completed with account closure,4813134.0
20188005929,Request completed with account closure,3280531.0
20188005932,Request completed with account closure,2307839.0
20188005946,Request completed with account closure,2393417.0
20188005972,Request completed with account closure,2328645.0
20188005988,Request completed with account closure,2391272.0
20188005990,Request completed with account closure,2327425.0
20188006039,Request completed with account closure,1955682.0
20188006042,Request completed with account closure,2042438.0
20188006046,Request completed with account closure,5839762.0
20188006348,Request completed with account closure,3348540.0
20188006349,Request completed with customer recovery,4740042.0
20188006404,Request completed with account closure,2455855.0
20188006405,Request deleted,544.0
20188006410,Request completed with account closure,8326417.0
20188006449,Request completed with account closure,1966301.0
20188006461,Request completed with account closure,2052442.0
20188006479,Request completed with account closure,406981.0
20188006492,Request completed with account closure,5677806.0
20188006500,Request completed with account closure,1618126.0
20188006505,Request completed with account closure,2049580.0
20188006517,Request completed with customer recovery,2681185.0
20188006545,Request completed with account closure,2047862.0
20188006555,Request completed with account closure,2047447.0
20188006602,Request completed with account closure,2820639.0
20188006604,Request completed with account closure,2067491.0
20188006683,Request completed with account closure,747387.0
20188006689,Request completed with account closure,2816657.0
20188006710,Request completed with account closure,3350569.0
20188006713,Request completed with account closure,2210410.0
20188006728,Request completed with account closure,2036989.0
20188006770,Request completed with account closure,2634509.0
20188006805,Request completed with account closure,1814673.0
20188006859,Request completed with account closure,2475944.0
20188006915,Request completed with account closure,1533899.0
20188006954,Request completed with account closure,1532232.0
20188006966,Request completed with account closure,4746959.0
20188006974,Request completed with account closure,2049379.0
20188006988,Request completed with account closure,151348.0
20188006992,Request completed with account closure,1962770.0
20188007000,Request completed with account closure,920860.0
20188007015,Request completed with account closure,3256899.0
20188007032,Request deleted,12777193.0
20188007045,Request completed with account closure,1743970.0
20188007050,Request deleted,4230191.0
20188007092,Request completed with account closure,1956718.0
20188007106,Request completed with account closure,4892411.0
20188007121,Request completed with account closure,658257.0
20188007132,Request deleted,3733655.0
20188007143,Request completed with account closure,1954402.0
20188007159,Request completed with account closure,2038969.0
20188007169,Request completed with account closure,1952626.0
20188007178,Request completed with account closure,1951363.0
20188007201,Request completed with account closure,1513767.0
20188007236,Request completed with account closure,1944091.0
20188007241,Request completed with account closure,2115942.0
20188007273,Request completed with account closure,1964883.0
20188007286,Request completed with account closure,2304319.0
20188007290,Request completed with account closure,1876243.0
20188007304,Request completed with account closure,2370360.0
20188007320,Request completed with account closure,1935817.0
20188007346,Request completed with account closure,8580937.0
20188007408,Request completed with account closure,3456807.0
20188007409,Request completed with account closure,1880981.0
20188007410,Request completed with account closure,1881022.0
20188007457,Request completed with account closure,7317175.0
20188007469,Request completed with account closure,1877948.0
20188007512,Request completed with account closure,5675799.0
20188007514,Request completed with account closure,1660234.0
20188007515,Request completed with account closure,1701284.0
20188007522,Request completed with account closure,5222842.0
20188007546,Request completed with account closure,3018872.0
20188007558,Request completed with account closure,4808852.0
20188007616,Request completed with account closure,2841003.0
20188007617,Request completed with account closure,229210.0
